stage,course,content,age,subject,unit_type,unit_title,card_title,block_title,card_type,block_type,text
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,Pequeños gestos que ayudan al planeta,Inicio,lesson,text,"3 Pequeños gestos que ayudan al planeta
https://plus.edebe.com/resources/video/vm_138373_tecno_4eso_s03_022.mp4
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/22_1.png
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/22_2.png
Sabemos que el planeta Tierra tiene recursos limitados y que es tarea de todos ayudar a su sostenibilidad para intentar tener un futuro mejor. Pero ¿qué significa eso de que es tarea de todos? ¿Qué podemos hacer cada uno para ayudar a la Tierra?
Podemos empezar por pensar en soluciones que nos ayuden a reducir nuestro consumo energético a diario.
- ¿Y si diseñáis un sensor que indique cuándo encender y apagar los aparatos que gastan energía?"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,Un planeta en crisis,Contenido,lesson,text,"Un planeta en crisis
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/23_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,Un planeta en crisis,Actividades,lesson,exam,"Seguro que has oído en más de una ocasión en las noticias o en algún otro programa de la tele el problema de la crisis energética.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/23_2.png
a) Investiga sobre la crisis energética: las causas, los agravantes y las repercusiones.
b) Organizad un coloquio en clase en torno a las siguientes cuestiones:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/23_3.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,Un planeta en crisis,Actividades,lesson,exam,"¿Cuánto cuesta la energía? Para ser conscientes de lo que cuesta la energía, vamos a hacer unos cálculos básicos.
- Primero, busca una factura de la electricidad de tu casa y el precio del megavatio por hora.
- A continuación, busca el consumo medio de una lámpara, un televisor y un horno.
- Finalmente, calcula cuánto cuesta tener 1 h encendido cada uno de estos elementos.
— Elabora una lista con cinco medidas rápidas para reducir el consumo energético en tu día a día.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/23_4.png
Ficha 23"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,¿Qué puedo hacer por mi planeta?,Contenido,lesson,text,"¿Qué puedo hacer por mi planeta?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/24_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,¿Qué puedo hacer por mi planeta?,Actividades,lesson,exam,"No debemos rendirnos; seguro que hay muchas cosas que podemos hacer entre todos.
— En grupos, realizad un brainstorming (tormenta de ideas) para buscar posibles acciones que os permitan combatir la crisis energética, tanto eléctrica como de calefacción.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/24_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,¿Qué puedo hacer por mi planeta?,Actividades,lesson,exam,"Está claro que una de las medidas que podemos seguir entre todos es intentar consumir menos electricidad y menos calefacción. No es solo una cuestión de ahorro económico, sino que resulta importante para nuestro planeta utilizar sus recursos con cabeza. La electrónica nos puede ayudar: podemos construir un dispositivo que llamaremos dispositivo de ahorro energético (DAE). Este dispositivo nos puede avisar cuando la luz o la calefacción sean innecesarias.
a) ¿Recuerdas qué componentes sirven para saber qué temperatura o qué luminosidad hay?
b) Identifica los componentes de las fotos. Busca y dibuja en tu cuaderno su símbolo eléctrico. ¿Serías capaz de explicar su funcionamiento?
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/24_3.png
Ficha 24     Ficha 79"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,Ideando vuestro dispositivo,Contenido,lesson,text,"Ideando vuestro dispositivo
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/25_1.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,Ideando vuestro dispositivo,Actividades,lesson,exam,"Necesitamos que el DAE sea capaz de captar la luminosidad y la temperatura de la habitación y de avisar cuando se deba apagar la luz o la calefacción.
— Realizad un primer boceto del esquema electrónico del DAE teniendo en cuenta lo siguiente:
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/25_2.png"
SECUNDARIA,CUARTO,TECNOLOGÍA 4,15-16 años,TECNOLOGIA,SA,Pequeños gestos que ayudan al planeta,Ideando vuestro dispositivo,Actividades,lesson,exam,"A partir del boceto, haced una lista con todos los componentes que necesitaréis.
https://plus.edebe.com/pymedia/markdownfiles/134335/unidad3/img/25_3.png"
